,Ct value (IC),Ct Value (ORF1ab),Ct Value (N),Ct value (IC),Ct Value (ORF1ab),Ct Value (N)
Market Place,,,,36.79,,37.44
Bus Stand/ Rail station ,35.58,36.41,37.92,36.52,35.44,36.22
Communal Pond/River,,36.12,,,37.46,35.45
